,0
stage_num,0.3741818820887605
age,0.21173246529416231
C8orf47,-0.17588973922295928
C19orf77,-0.1671738494556133
PLEKHG4B,0.16667629552957874
MUC5B,0.1595640787776628
ITGA8,-0.08495592064196153
PSORS1C3,-0.06357274106064013
ELN,-0.06321504240002472
ACTC1,-0.06273929835259938
ZFP57,-0.05953497436767062
EREG,0.0519192835331532
IGF2BP3,0.04962683102147283
DPP6,-0.04497356313784104
ITPKA,0.04380831619693346
ANXA8,0.04338778134719635
HAPLN1,-0.03834610051129281
TPSD1,-0.037359805963245375
SPDEF,0.037093870832737304
HMGCS2,-0.03618086547654289
CYP3A7,-0.029500195666125557
RGS20,0.027019116716526178
MGAM,-0.026956057107373536
TF,0.02603390108722016
CPXM2,-0.024613742945788806
FGB,-0.02453981553400442
SLC12A3,-0.018796194829812818
CORO6,0.01647174350769222
LIPG,0.014974198713385177
FGG,-0.012650590629283791
ITIH4,0.011586037989195361
SNURF,-0.009655043945368851
TFPI2,0.009440224209605694
SLC16A12,-0.008410457110172236
LDHC,0.0059772805140608015
KRT6A,0.005896308045995175
PDK4,-0.004698282562547792
CXCL1,0.003257221606210843
LOC339535,0.0025689683596276085
GRIA3,-0.0025224074427560588
